COVID-19 Vaccinations in the United States
Date generated: Wed Jun 16 2021 08:46:51 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,822445,112426,149112,633467,86593,603925,109494,346864,47.4,328810,59.6,301029,41.1,289369,52.5,411645,352100,58700,0,22940,273076,337351,100,126539,153136,21321,33,126208,141906,21224,31,279708,47.4,328810,59.6,38.2,268145,48.6,346864,73804,80.6,69261,75.6,39363,27654,2228,16,139034,151804,897983,345970,56.8,300642,49.4,126537,152753,21319,33,632192,103829,135076
Alabama,4686280,95576,122842,3129657,63829,3087556,80935,1816769,37.1,1788404,46.9,1501171,30.6,1486422,39,2281500,2123680,281100,0,105720,1508148,1515789,0,685600,707404,108065,102,685385,692919,108016,102,1393106,37.1,1788404,46.9,28.4,1378406,36.1,1816769,652031,76.7,565427,66.5,301293,234368,29701,65,1165386,137131,551433,1816459,43.4,1501142,35.9,685592,707389,108059,102,3129350,74742,111928
Arkansas,2803630,92903,120969,2155399,71423,2093848,90344,1229128,40.7,1188984,51.3,985595,32.7,963809,41.6,1370070,1254760,178800,0,72748,1009584,1072484,583,452665,461799,70982,149,451868,441195,70605,141,914613,40.7,1188984,51.3,30.3,893204,38.5,1229128,401601,76.7,338212,64.6,195763,131146,11211,92,731490,139629,535164,1226286,48,984880,38.5,452661,461198,70872,149,2151916,84150,109635
American Samoa,54030,97021,124565,44386,79703,42402,97757,24552,44.1,23293,53.7,20103,36.1,19381,44.7,37830,15600,600,0,134,10913,33339,0,4802,15159,142,0,4789,14450,142,0,19961,44.1,23293,53.7,35.8,19239,44.4,24552,2593,27.5,2333,24.7,935,1385,13,0,4832,51208,572594,24549,51.6,20102,42.3,4801,15159,142,0,44382,93324,113611
Arizona,7946275,109171,140929,6236785,85685,6001352,106436,3495144,48,3348201,59.4,2775508,38.1,2693162,47.8,4216875,3298500,430900,0,203669,2697127,3330807,5182,1152409,1425169,196231,1699,1152089,1343273,196112,1688,2579277,48,3348201,59.4,35.4,2497050,44.3,3495144,1087843,83.1,917894,70.1,453687,426789,36407,1011,2052633,156853,607220,3494740,56.3,2775414,44.7,1152396,1425125,196194,1699,6236305,100487,128041
Bureau of Prisons,198260,N/A,N/A,190058,N/A,190057,N/A,103768,N/A,103767,N/A,93125,N/A,93125,N/A,105300,82360,10600,0,7837,78069,104152,0,36428,48902,7795,0,36428,48902,7795,0,85330,N/A,103767,N/A,0,85330,0,103768,3289,0,3049,0,1489,1462,98,0,6278,0,0,103767,0,93125,0,36428,48902,7795,0,190057,0,0
California,48312800,122273,157794,40669793,102930,38646568,126223,23370026,59.1,22116583,72.2,18507541,46.8,17732824,57.9,26016900,19680900,2615000,0,1451031,16828112,22384840,5810,7373891,9693140,1438822,1688,7352367,8946143,1432672,1642,17068719,59.1,22116583,72.2,43.2,16300152,53.2,23370026,5365359,91.9,4305696,73.8,2213211,1943458,148363,664,9609887,164606,827541,23311151,69.3,18482712,54.9,7373501,9668976,1438548,1687,40586102,120626,143590
Colorado,6904110,119889,153451,5903574,102515,5616628,124836,3235921,56.2,3057988,68,2794824,48.5,2685549,59.7,3727230,2836580,340300,0,207857,2508600,3184260,2857,1155076,1433889,204960,899,1152012,1328626,204021,890,2589864,56.2,3057988,68,45,2481528,55.2,3235921,729879,86.6,659622,78.3,327827,312754,18759,282,1397453,165887,819565,3227055,65.4,2791273,56.5,1155064,1430369,204941,899,5891112,119348,139871
Connecticut,4645465,130297,163697,4243320,119018,4015882,141512,2328132,65.3,2196270,77.4,2052314,57.6,1961257,69.1,2510625,1884940,249900,0,165685,1654380,2422820,435,773851,1112846,165497,120,773506,1022285,165361,105,1886817,65.3,2196270,77.4,52.9,1795896,63.3,2328132,594160,94.3,552945,87.7,218435,317500,16982,28,1143835,181491,737090,2326936,74.9,2051900,66.1,773651,1112703,165426,120,4241755,136569,149567
District of Columbia,1050145,148799,181818,824047,116762,808857,140042,416216,59,405044,70.1,347921,49.3,342221,59.3,578565,417180,54400,0,26523,325146,472111,267,133155,184673,29920,173,133118,179030,29902,171,318001,59,405044,70.1,45.1,312319,54.1,416216,73054,83.6,64602,74,36556,25944,2080,22,165600,189597,1202320,416139,68.2,347891,57.1,133151,184649,29918,173,823975,135132,172224
Dept of Defense,4362500,N/A,N/A,3885190,N/A,3783795,N/A,2272333,N/A,2199586,N/A,1652187,N/A,1623995,N/A,2359500,1816800,186200,0,134590,1633785,2116416,399,653106,867409,131672,0,653028,839332,131635,0,1520515,N/A,2199586,N/A,0,1492360,0,2272333,179007,0,131256,0,47200,78641,5415,0,319172,0,0,2269863,0,1652077,0,653083,867337,131657,0,3882624,0,0
Delaware,1258695,129261,163426,990471,101716,948438,123143,551054,56.6,526594,68.4,453498,46.6,438801,57,681135,511760,65800,0,42494,398110,549500,367,172338,239076,41909,175,172247,224499,41880,175,411589,56.6,526594,68.4,42.3,396921,51.5,551054,174485,92.4,153515,81.3,63259,81988,8163,105,328356,173820,666308,550905,65.6,453471,54,172334,239060,41902,175,990296,117919,149879
Florida,24284695,113069,140799,19994471,93094,19477621,112928,11084450,51.6,10751247,62.3,9169529,42.7,8993200,52.1,12757875,9832720,1694100,0,935909,8252289,10764523,41750,3611712,4623703,920643,13471,3610783,4449180,919781,13456,8248886,51.6,10751247,62.3,38.4,8073419,46.8,11084450,3999339,88.9,3455690,76.8,1723567,1551371,171260,9492,7740566,172114,539979,11077432,59.3,9168335,49,3611128,4623601,920135,13471,19986717,106904,129892
Federated States of Micronesia,78800,76030,97614,47128,45471,47098,58343,27594,26.6,27565,34.1,22712,21.9,22702,28.1,0,68600,10200,0,3256,43872,0,0,19435,40,3237,0,19431,40,3231,0,19475,26.6,27565,34.1,18.8,19471,24.1,27594,2314,13.2,2058,11.7,1700,5,353,0,4006,22812,448722,27585,31.2,22708,25.7,19434,40,3234,0,47118,53235,89030
Georgia,10932375,102966,134742,7939097,74774,7721618,95170,4387213,41.3,4235263,52.2,3596274,33.9,3529027,43.5,5712915,4622760,596700,0,204076,3441604,4292757,660,1527231,1867319,201323,401,1526805,1800762,201073,387,3394951,41.3,4235263,52.2,32,3327954,41,4387213,1212359,79.9,1053757,69.5,587010,441057,25504,186,2336680,154038,720679,4385695,48.8,3596049,40,1527189,1867223,201236,401,7937476,88311,121632
